symbol,price,date
TRXUSDT,0.06995,2022-04-05 20:16:56
ETCUSDT,45.35,2022-04-05 20:16:56
ETCBNB,0.1011,2022-04-05 20:16:56
ICXUSDT,0.97,2022-04-05 20:16:56
SCBTC,2.7e-07,2022-04-05 20:16:56
SCETH,3.68e-06,2022-04-05 20:16:56
NPXSBTC,3e-08,2022-04-05 20:16:56
NPXSETH,3.45e-06,2022-04-05 20:16:56
VENUSDT,0.0001,2022-04-05 20:16:56
KEYBTC,1.3e-07,2022-04-05 20:16:56
KEYETH,2.85e-06,2022-04-05 20:16:56
NASBTC,5.9e-06,2022-04-05 20:16:56
NASETH,7.76e-05,2022-04-05 20:16:56
NASBNB,0.02337,2022-04-05 20:16:56
MFTBTC,8e-08,2022-04-05 20:16:56
MFTETH,3.04e-06,2022-04-05 20:16:56
MFTBNB,1.485e-05,2022-04-05 20:16:56
DENTBTC,4e-08,2022-04-05 20:16:56
DENTETH,9.7e-07,2022-04-05 20:16:56
ARDRBTC,5.39e-06,2022-04-05 20:16:56
ARDRETH,0.0001887,2022-04-05 20:16:56
ARDRBNB,0.003168,2022-04-05 20:16:56
NULSUSDT,0.5244,2022-04-05 20:16:56
HOTBTC,2e-08,2022-04-05 20:16:56
HOTETH,1.88e-06,2022-04-05 20:16:56
VETBTC,1.69e-06,2022-04-05 20:16:56
VETETH,2.252e-05,2022-04-05 20:16:56
VETUSDT,0.0776,2022-04-05 20:16:56
VETBNB,0.0001729,2022-04-05 20:16:56
DOCKBTC,1e-06,2022-04-05 20:16:56
DOCKETH,3.283e-05,2022-04-05 20:16:56
POLYBTC,1.065e-05,2022-04-05 20:16:56
POLYBNB,0.001459,2022-04-05 20:16:56
PHXBTC,1.8e-06,2022-04-05 20:16:56
PHXETH,5.617e-05,2022-04-05 20:16:56
PHXBNB,0.000456,2022-04-05 20:16:56
HCBTC,2e-05,2022-04-05 20:16:56
HCETH,0.005134,2022-04-05 20:16:56
GOBTC,6.1e-07,2022-04-05 20:16:56
GOBNB,0.0006923,2022-04-05 20:16:56
PAXBTC,0.00025175,2022-04-05 20:16:56
PAXBNB,0.20121,2022-04-05 20:16:56
PAXUSDT,0.9996,2022-04-05 20:16:56
PAXETH,0.00888047,2022-04-05 20:16:56
RVNBTC,1.51e-06,2022-04-05 20:16:56
DCRBTC,0.001373,2022-04-05 20:16:56
DCRBNB,0.781,2022-04-05 20:16:56
USDCBNB,0.21755,2022-04-05 20:16:56
MITHBTC,1.02e-06,2022-04-05 20:16:56
MITHBNB,0.0001035,2022-04-05 20:16:56
BCHABCBTC,0.02933,2022-04-05 20:16:56
